file_name	seed	formula_x	formula_y
2021-04-11-14-31_seed_4577.png	4577	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^2 - cos(x_i^2)
2021-04-11-14-32_seed_9854.png	9854	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^2 - cos(x_i^2)
2021-04-11-14-32_seed_4045.png	4045	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^2 - cos(x_i^2)
2021-04-11-14-32_seed_7659.png	7659	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^2 - cos(x_i^2)
2021-04-11-14-32_seed_8019.png	8019	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^2 - cos(x_i^2)
2021-04-11-14-32_seed_3627.png	3627	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^2 - cos(x_i^2)
2021-04-11-14-35_seed_3338.png	3338	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^2 - cos(x_i^2)
2021-04-11-14-35_seed_1434.png	1434	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^2 - cos(x_i^2)
2021-04-11-14-35_seed_4726.png	4726	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^2 - cos(x_i^2)
2021-04-11-14-35_seed_4536.png	4536	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^2 - cos(x_i^2)
2021-04-11-14-36_seed_147.png	147	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^2 - cos(x_i^2)
